,0,1
0,pyconTutorial115,"['ec2-174-129-73-13.compute-1.amazonaws.com', 'ec2-54-235-5-228.compute-1.amazonaws.com', 'ec2-174-129-142-61.compute-1.amazonaws.com']"
1,pyconTutorial114,"['ec2-54-242-207-126.compute-1.amazonaws.com', 'ec2-23-22-166-122.compute-1.amazonaws.com', 'ec2-50-16-18-253.compute-1.amazonaws.com']"
2,pyconTutorial117,"['ec2-54-234-139-120.compute-1.amazonaws.com', 'ec2-54-224-16-57.compute-1.amazonaws.com', 'ec2-54-234-232-208.compute-1.amazonaws.com']"
3,pyconTutorial111,"['ec2-54-234-147-11.compute-1.amazonaws.com', 'ec2-54-234-49-176.compute-1.amazonaws.com', 'ec2-23-23-49-140.compute-1.amazonaws.com']"
4,pyconTutorial113,"['ec2-50-19-168-127.compute-1.amazonaws.com', 'ec2-50-19-150-78.compute-1.amazonaws.com', 'ec2-54-234-125-1.compute-1.amazonaws.com']"
5,pyconTutorial112,"['ec2-23-22-180-27.compute-1.amazonaws.com', 'ec2-54-234-139-233.compute-1.amazonaws.com', 'ec2-54-234-240-34.compute-1.amazonaws.com']"
6,pyconTutorial119,"['ec2-174-129-143-81.compute-1.amazonaws.com', 'ec2-50-19-45-50.compute-1.amazonaws.com', 'ec2-54-234-51-106.compute-1.amazonaws.com']"
7,pyconTutorial118,"['ec2-23-22-235-3.compute-1.amazonaws.com', 'ec2-54-235-19-80.compute-1.amazonaws.com', 'ec2-50-17-43-199.compute-1.amazonaws.com']"
8,pyconTutorial124,"['ec2-50-17-49-30.compute-1.amazonaws.com', 'ec2-50-17-90-219.compute-1.amazonaws.com', 'ec2-54-242-119-51.compute-1.amazonaws.com']"
9,pyconTutorial125,"['ec2-54-234-140-176.compute-1.amazonaws.com', 'ec2-50-16-129-122.compute-1.amazonaws.com', 'ec2-23-22-113-173.compute-1.amazonaws.com']"
10,pyconTutorial120,"['ec2-184-73-125-233.compute-1.amazonaws.com', 'ec2-54-234-193-64.compute-1.amazonaws.com', 'ec2-50-17-81-183.compute-1.amazonaws.com']"
11,pyconTutorial121,"['ec2-23-23-66-187.compute-1.amazonaws.com', 'ec2-184-73-97-102.compute-1.amazonaws.com', 'ec2-107-22-7-235.compute-1.amazonaws.com']"
12,pyconTutorial122,"['ec2-54-234-196-174.compute-1.amazonaws.com', 'ec2-50-19-54-227.compute-1.amazonaws.com', 'ec2-72-44-36-108.compute-1.amazonaws.com']"
13,pyconTutorial123,"['ec2-50-16-92-111.compute-1.amazonaws.com', 'ec2-50-19-10-115.compute-1.amazonaws.com', 'ec2-54-234-188-98.compute-1.amazonaws.com']"
14,pyconTutorial102,"['ec2-54-242-136-199.compute-1.amazonaws.com', 'ec2-54-242-134-108.compute-1.amazonaws.com', 'ec2-54-234-248-204.compute-1.amazonaws.com']"
15,pyconTutorial103,"['ec2-184-73-32-98.compute-1.amazonaws.com', 'ec2-54-235-9-120.compute-1.amazonaws.com', 'ec2-50-19-39-163.compute-1.amazonaws.com']"
16,pyconTutorial106,"['ec2-54-234-162-1.compute-1.amazonaws.com', 'ec2-54-235-36-177.compute-1.amazonaws.com', 'ec2-54-234-222-249.compute-1.amazonaws.com']"
17,pyconTutorial107,"['ec2-54-234-140-154.compute-1.amazonaws.com', 'ec2-23-20-41-67.compute-1.amazonaws.com', 'ec2-23-20-84-142.compute-1.amazonaws.com']"
18,pyconTutorial104,"['ec2-184-72-164-202.compute-1.amazonaws.com', 'ec2-184-73-101-81.compute-1.amazonaws.com', 'ec2-204-236-240-218.compute-1.amazonaws.com']"
19,pyconTutorial105,"['ec2-54-224-10-44.compute-1.amazonaws.com', 'ec2-54-234-148-131.compute-1.amazonaws.com', 'ec2-54-224-30-47.compute-1.amazonaws.com']"
20,pyconTutorial109,"['ec2-50-17-37-109.compute-1.amazonaws.com', 'ec2-54-234-103-6.compute-1.amazonaws.com', 'ec2-50-17-23-104.compute-1.amazonaws.com']"
